"'1st ","'Lib. ","'N. Vandervest¹ ","'9 ",
"'","'Rep. ","'*Dave Hutchison ","'17,593 ",
"'2nd ","'Dem. ","'Steve Johnson ","'9,773 ",
"'","'Rep. ","'*Frank Lasee ","'13,345 ",
"'3rd ","'Dem. ","'Michael A. Scheffler ","'6,728 ",
"'","'Rep. ","'* Al Ott ","'15,146 ",
"'4th ","'Rep. ","'*Mark Green ","'17,713 ",
"'5th ","'Dem. ","'*William N. Vander Loop ","'12,301 ",
"'","'Rep. ","'Tom Sanders ","'9,670 ",
"'6th ","'Dem. ","'Becky Wolf ","'7,485 ",
"'","'Rep. ","'*John H. Ainsworth ","'12,242 ",
"'7th ","'Dem. ","'*Peter E. Bock ","'12,295 ",
"'","'Lib. ","'Dennis K. Sehmer ","'0 ",
"'8th ","'Dem. ","'*Walter Kunicki ","'6,341 ",
"'","'Rep. ","'Roberto Escamilla ","'1,508 ",
"'9th ","'Dem. ","'*Tim Carpenter ","'14,758 ",
"'","'Lib. ","'Eugene W. Ziemer ","'0 ",
"'10th ","'Dem. ","'*Annette Polly Williams ","'11,570 ",
"'11th ","'Dem. ","'*Johnnie Morris-Tatum ","'12,954 ",
"'12th ","'Dem. ","'*Shirley Krug ","'12,606 ",
"'","'Rep. ","'Don Nelson ","'3,987 ",
"'13th ","'Dem. ","'*David A. Cullen ","'12,232 ",
"'","'Lib. ","'Mary Jane Zimmer¹ ","'0 ",
"'","'Rep. ","'Dave Schultz ","'9,058 ",
"'14th ","'Dem. ","'Dale Dulberger ","'9,792 ",
"'","'Ref. ","'Don Barr¹ ","'0 ",
"'","'Rep. ","'*Scott K. Walker ","'15,658 ",
"'15th ","'Dem. ","'Tony Staskunas ","'13,483 ",
"'","'Rep. ","'Lila M. Roberts ","'6,326 ",
"'16th ","'Dem. ","'*Leon D. Young ","'8,955 ",
"'17th ","'Dem. ","'*G. Spencer Coggs ","'13,394 ",
"'","'Lib. ","'Andrew Luko¹ ","'1 ",
"'18th ","'Dem. ","'*Antonio R. Riley ","'6,995 ",
"'19th ","'Dem. ","'*Barbara Notestein ","'14,802 ",
"'","'Tax. ","'Michael E. Phillips ","'2,529 ",
"'20th ","'Dem. ","'*Rosemary Potter ","'15,520 ",
"'21st ","'Dem. ","'*Jeffrey T. Plale ","'14,020 ",
"'","'Rep. ","'Arden C. Degner ","'6,544 ",
"'22nd ","'Dem. ","'*Sheldon A. Wasserman ","'15,314 ",
"'","'Rep. ","'Polly Beal ","'11,526 ",
"'","'Ind. ","'Jeffrey H. Marker¹ ","'0 ",
"'23rd ","'Dem. ","'*John La Fave ","'14,186 ",
"'","'Rep. ","'Chris Carson ","'8,734 ",
"'24th ","'Dem. ","'Dennis Burnick ","'7,574 ",
"'","'Rep. ","'Suzanne Jeskewitz ","'19,343 ",
"'25th ","'Dem. ","'*Bob Ziegelbauer ","'14,771 ",
"'26th ","'Dem. ","'*Jim Baumgart ","'13,301 ",
"'","'Rep. ","'Kerry O. Doyle ","'8,290 ",
"'27th ","'Dem. ","'Hans W. Kuhn ","'7,965 ",
"'","'Rep. ","'*Clifford Otte ","'14,226 ",
"'28th ","'Dem. ","'*Robert Dueholm ","'13,222 ",
"'","'Rep. ","'Rick Davis ","'9,848 ",
"'29th ","'Dem. ","'Joe Plouff ","'9,954² ",
"'","'Rep. ","'Jim Anderson ","'9,797² ",
"'30th ","'Dem. ","'James R. Johnson ","'9,861 ",
"'","'Rep. ","'*Sheila Harsdorf ","'13,604 ",
"'31st ","'Dem. ","'Shirley Wheeler ","'8,226 ",
"'","'Rep. ","'*Steve Nass ","'14,214 ",
"'","'Tax. ","'Edward J. Frami ","'652 ",
"'32nd ","'Rep. ","'*Scott R. Jensen ","'14,747 ",
"'","'Tax. ","'Dave Ostendorf ","'3,580 ",
"'33rd ","'Rep. ","'*Daniel P. Vrakas ","'20,165 ",
"'","'Tax. ","'Steven F. Leinstock ","'2,747 ",
"'34th ","'Dem. ","'Carolyn Parker ","'9,022 ",
"'","'Rep. ","'*Joe Handrick ","'17,644 ",
"'35th ","'Dem. ","'Mike Barkley ","'7,887 ",
"'","'Rep. ","'*Thomas D. Ourada ","'13,851 ",
"'36th ","'Dem. ","'Arin Dean Brown ","'7,391 ",
"'","'Rep. ","'*Lorraine M. Seratti ","'12,960 ",
"'37th ","'Dem. ","'Scott Waller ","'8,176 ",
"'","'Rep. ","'*David W. Ward ","'13,104 ",
"'38th ","'Dem. ","'Glenn Schwoch ","'5,658 ",
"'","'Rep. ","'*Steven M. Foti ","'15,324 ",
"'","'Tax. ","'Kenneth W. Eyre ","'1,035 ",
"'39th ","'Dem. ","'Jim Giedd ","'7,089 ",
"'","'Rep. ","'*Robert G. Goetsch ","'12,157 ",
"'40th ","'Dem. ","'Cornelius D. Van Handel ","'5,500 ",
"'","'Rep. ","'*William D. Lorge ","'13,395 ",
"'41st ","'Rep. ","'*Luther S. Olsen ","'15,042 ",
"'42nd ","'Dem. ","'Scott Kevin Alexander ","'7,243 ",
"'","'Rep. ","'*Ben Brancel ","'14,391 ",
"'43rd ","'Dem. ","'Charles Kelly ","'7,350 ",
"'","'Lib. ","'Edward J. Kozak ","'873 ",
"'","'Rep. ","'Neal J. Kedzie ","'13,251 ",
"'44th ","'Dem. ","'*Wayne W. Wood ","'17,957 ",
"'","'Lib. ","'Darrell Rce¹ ","'4 ",
"'45th ","'Dem. ","'*Judy Robson ","'13,224 ",
"'46th ","'Dem. ","'Tom Hebl ","'12,563 ",
"'","'Lib. ","'Thomas G. Ender ","'571 ",
"'","'Rep. ","'*Rudy Silbaugh ","'11,786 ",
"'47th ","'Dem. ","'Jim Festge ","'10,598 ",
"'","'Lib. ","'James J. Mueller ","'503 ",
"'","'Rep. ","'*Eugene H. Hahn ","'13,890 ",
"'48th ","'Dem. ","'*Doris J. Hanson ","'17,587 ",
"'","'Lib. ","'Terry R. Gray ","'2,254 ",
"'49th ","'Dem. ","'Bob Rundell ","'6,816 ",
"'","'Rep. ","'*David A. Brandemuehl ","'11,560 ",
"'50th ","'Rep. ","'*Sheryl K. Albers ","'16,133 ",
"'51st ","'Dem. ","'Terry Sheffer ","'6,291 ",
"'","'Rep. ","'*Stephen J. Freese ","'13,777 ",
"'52nd ","'Dem. ","'Todd M. Schmitz ","'6,975 ",
"'","'Rep. ","'*John Dobyns ","'12,728 ",
"'53rd ","'Dem. ","'Mike Gannon ","'6,407 ",
"'","'Rep. ","'*Carol Owens ","'15,127 ",
"'","'Tax. ","'Anthony E. Deiss ","'634 ",
"'54th ","'Dem. ","'Tony Palmeri ","'8,335 ",
"'","'Rep. ","'*Gregg Underheim ","'12,753 ",
"'55th ","'Rep. ","'*Dean R. Kaufert ","'16,065 ",
"'56th ","'Dem. ","'Dennis Zemple ","'6,282 ",
"'","'Rep. ","'*Judith A. Klusman ","'16,156 ",
"'57th ","'Dem. ","'Peter Waldman ","'7,774 ",
"'","'Rep. ","'Steve Wieckert ","'13,343 ",
"'58th ","'Dem. ","'Thomas F. Stodola ","'6,908 ",
"'","'Rep. ","'*Michael Lehman ","'16,848 ",
"'59th ","'Rep. ","'Glenn Grothman ","'18,216 ",
"'60th ","'Dem. ","'Richard Schwalb ","'6,875 ",
"'","'Rep. ","'*Tim Hoven ","'18,738 ",
"'61st ","'Dem. ","'*Robert L. Turner ","'10,218 ",
"'","'Lib. ","'Michael L. Wynhoff ","'764 ",
"'","'Tax. ","'Thomas Rivers ","'904 ",
"'62nd ","'Dem. ","'John W. Lehman ","'10,765 ",
"'","'Lib. ","'Jim Sewell ","'457 ",
"'","'Rep. ","'Joseph S. Clementi ","'8,395 ",
"'","'Tax. ","'Thomas Casper ","'512 ",
"'63rd ","'Dem. ","'Patrick F. Cherf ","'6,672 ",
"'","'Lib. ","'David L. Webber¹ ","'0 ",
"'","'Rep. ","'*Bonnie Ladwig ","'16,520 ",
"'","'Tax. ","'Michael J. O'Hare ","'740 ",
"'64th ","'Dem. ","'*James E. Kreuser ","'12,867 ",
"'","'Rep. ","'Don Ruge ","'4,363 ",
"'65th ","'Dem. ","'John P. Steinbrink ","'13,007 ",
"'","'Rep. ","'Jeff Toboyek ","'6,817 ",
"'66th ","'Dem. ","'Vera Boone ","'6,215 ",
"'","'Rep. ","'*Cloyd A. Porter ","'15,007 ",
"'67th ","'Dem. ","'*Michael O. Wilder ","'9,978 ",
"'","'Lib. ","'David Blair ","'272 ",
"'","'Rep. ","'Tom Sykora ","'10,381 ",
"'68th ","'Dem. ","'*Dave Plombon ","'9,758 ",
"'","'Rep. ","'Chuck Schafer ","'11,010 ",
"'69th ","'Dem. ","'Wayne L. Hendrickson ","'7,141 ",
"'","'Rep. ","'*Robert Zukowski ","'11,621 ",
"'70th ","'Dem. ","'*Don Hasenohrl ","'12,957 ",
"'","'Rep. ","'Donna M. Rozar ","'8,298 ",
"'71st ","'Dem. ","'*Bill Murat ","'12,950 ",
"'","'Rep. ","'Jackie Szehner ","'9,249 ",
"'72nd ","'Dem. ","'*Marlin D. Schneider ","'13,619 ",
"'","'Rep. ","'Charles E. Hellner ","'8,266 ",
"'73rd ","'Dem. ","'*Frank Boyle ","'13,645 ",
"'","'Rep. ","'Jim Balcum ","'8,465 ",
"'74th ","'Dem. ","'*Barbara J. Linton ","'15,107 ",
"'75th ","'Dem. ","'*Mary Hubler ","'15,003 ",
"'76th ","'Dem. ","'*Rebecca Young ","'16,337 ",
"'","'Lib. ","'Timothy D.Wing ","'535 ",
"'","'Rep. ","'Paul E. Tessmer ","'10,128 ",
"'77th ","'Dem. ","'*Spencer Black ","'19,257 ",
"'","'Lib. ","'Scott T. Jensen ","'2,792 ",
"'78th ","'Dem. ","'*Tammy Baldwin ","'15,972 ",
"'","'Lib. ","'Anthony W. Tardola ","'659 ",
"'","'Rep. ","'Tom McCann ","'4,842 ",
"'","'Ind. ","'Richard H. Anderson ","'937 ",
"'79th ","'Dem. ","'Judy Patenaude ","'12,670 ",
"'","'Rep. ","'*Rick Skindrud ","'14,235 ",
"'80th ","'Dem. ","'Jon Tris Lahti ","'7,057 ",
"'","'Rep. ","'*Mike Powers ","'13,730 ",
"'81st ","'Dem. ","'*Dave Travis ","'14,349 ",
"'","'Rep. ","'Matt Klecker ","'9,804 ",
"'82nd ","'Dem. ","'*James A. Rutkowski ","'12,776 ",
"'","'Rep. ","'Jeffrey A. Stone ","'11,843 ",
"'83rd ","'Dem. ","'Jeff Carew ","'7,793 ",
"'","'Rep. ","'*Scott L. Gunderson ","'17,639 ",
"'84th ","'Dem. ","'Don Schwartz ","'7,480 ",
"'","'Rep. ","'*Mary A. Lazich ","'16,201 ",
"'85th ","'Dem. ","'*Greg Huber ","'14,628 ",
"'","'Rep. ","'Eric D. Ziechert ","'6,139 ",
"'86th ","'Dem. ","'*Tom Springer ","'12,486 ",
"'","'Rep. ","'Jim Jacobson ","'10,218 ",
"'87th ","'Dem. ","'*Marty Reynolds ","'10,715 ",
"'","'Rep. ","'Mary Moser ","'10,331 ",
"'88th ","'Rep. ","'*Carol Kelso ","'11,067 ",
"'89th ","'Dem. ","'Kim Fenske ","'7,056 ",
"'","'Rep. ","'*John G. Gard ","'14,113 ",
"'90th ","'Dem. ","'*John J. Ryba ","'10,682 ",
"'","'Rep. ","'Warren Bluhm ","'9,696 ",
"'91st ","'Dem. ","'*Barbara Gronemus ","'14,850 ",
"'92nd ","'Dem. ","'David Rice ","'9,338 ",
"'","'Rep. ","'*Terry M. Musser ","'10,321 ",
"'93rd ","'Dem. ","'Rich Postlewaite ","'10,000 ",
"'","'Rep. ","'*Rob Kreibich ","'14,480 ",
"'94th ","'Dem. ","'Bradley Pfaff ","'10,580 ",
"'","'Rep. ","'*Mike Huebsch ","'12,648 ",
"'","'Ind. ","'Jim Milliren ","'569 ",
"'95th ","'Dem. ","'*Mark Meyer ","'14,051 ",
"'","'Rep. ","'Audrey Kader ","'7,668 ",
"'96th ","'Dem. ","'Mark A. Kastel ","'7,884 ",
"'","'Rep. ","'*DuWayne Johnsrud ","'12,783 ",
"'97th ","'Dem. ","'*Peggy Krusick ","'18,159 ",
"'","'Lib. ","'Donald L. Carlson ","'1,549 ",
"'98th ","'Rep. ","'*Marc C. Duff ","'19,738 ",
"'","'Tax. ","'Daryl Feryance ","'2,352 ",
"'99th ","'Rep. ","'*Frank H. Urban ","'22,671 ",
