"'2nd ","'4th, 5th, 6th ","'","'Dem. ","'Patricia J. Buss ","'23,849 ",
"'","'","'","'Rep. ","'*Robert L. Cowles ","'40,467 ",
"'4th ","'10th, 11th, 12th ","'","'Dem. ","'*Gwen Moore ","'38,018 ",
"'6th ","'16th, 17th, 18th ","'","'Dem. ","'*Gary R. George ","'29,236 ",
"'8th ","'22nd, 23rd, 24th ","'","'Dem. ","'Randy Nash ","'29,728 ",
"'","'","'","'Rep. ","'*Alberta Darling ","'45,244 ",
"'","'","'","'Tax. ","'Tim Gallert ","'2,003 ",
"'10th ","'28th, 29th, 30th ","'","'Dem. ","'*Alice Clausing ","'36,052 ",
"'","'","'","'Rep. ","'Jay Griggs ","'30,566 ",
"'12th ","'34th, 35th, 36th ","'","'Dem. ","'*Roger Breske ","'40,220 ",
"'","'","'","'Rep. ","'Nancy Levanetz ","'29,838 ",
"'14th ","'40th, 41st, 42nd ","'","'Rep. ","'*Robert T. Welch ","'44,421 ",
"'16th ","'46th, 47th, 48th ","'","'Dem. ","'*Chuck Chvala ","'39,618 ",
"'","'","'","'Lib. ","'Mike A. Oprish ","'1,204 ",
"'","'","'","'Rep. ","'Tom Metcalfe ","'32,997 ",
"'18th ","'52nd, 53rd, 54th ","'","'Dem. ","'Fred Frederickson ","'16,614 ",
"'","'","'","'Rep. ","'Carol A. Buettner ","'46,721 ",
"'20th ","'58th, 59th, 60th ","'","'Lib. ","'Kevin Scheunemann ","'5,258 ",
"'","'","'","'Rep. ","'*Mary E. Panzer ","'54,517 ",
"'","'","'","'Tax. ","'Barry Moder ","'4,488 ",
"'22nd ","'64th, 65th, 66th ","'","'Dem. ","'Robert W. Wirch ","'33,847 ",
"'","'","'","'Rep. ","'Bruno M. Rizzo ","'25,728 ",
"'24th ","'","'70th, 71st, 72nd ","'Dem. ","'*Kevin W. Shibilski ","'44,933 ",
"'","'","'","'Tax. ","'Wayne Wiedeman ","'8,508 ",
"'26th ","'","'76th, 77th, 78th ","'Dem. ","'*Fred A. Risser ","'57,499 ",
"'28th ","'","'82nd, 83rd, 84th ","'Dem. ","'*Lynn S. Adelman ","'39,376 ",
"'","'","'","'Rep. ","'Lisa Soik ","'36,286 ",
"'30th ","'","'88th, 89th, 90th ","'Dem. ","'Barbara Lawton ","'29,872 ",
"'","'","'","'Rep. ","'*Gary Drzewiecki ","'32,096 ",
"'32nd ","'","'94th, 95th, 96th ","'Dem. ","'David Wulf ","'16,364 ",
"'","'","'","'Rep. ","'*Brian D. Rude ","'49,357 ",
