a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,
,,,,,
CONGRESSIONAL - DISTRICT 8,,,,,
,,,,,
County,,Total Votes Cast,REP,DEM,
,,,REID J. RIBBLE,JAMIE WALL,SCATTERING
BROWN ,,122888.0,67021.0,55730.0,137.0
CALUMET ,,25614.0,15354.0,10245.0,15.0
DOOR ,,17191.0,8636.0,8544.0,11.0
KEWAUNEE ,,10638.0,5848.0,4780.0,10.0
MARINETTE ,,19430.0,10617.0,8807.0,6.0
MENOMINEE ,,1163.0,238.0,925.0,0.0
OCONTO ,,18736.0,10839.0,7885.0,12.0
OUTAGAMIE ,,90022.0,50666.0,39288.0,68.0
SHAWANO ,,19035.0,11172.0,7846.0,17.0
WAUPACA ,,24281.0,14342.0,9919.0,20.0
WINNEBAGO ,,6466.0,4141.0,2318.0,7.0
Office Totals:,,355464.0,198874.0,156287.0,303.0
